Name,# First name,# Last name
תבור,1,7
אביאל,2,3
אוראל,6,1
ארגוב,2,3
דאהר,1,6
זאיד,2,3
זוהיר,1,6
ח'ליל,3,2
חמזה,3,2
ידידיה,6,1
יזהר,6,1
יערה,3,2
לי,3,2
מורד,1,6
מישאל,3,2
מרק,6,1
נאטור,1,6
נגה,6,1
ניזאר,3,2
ניקולא,2,3
סלאם,3,2
עאוני,6,1
עאסלה,1,6
עבוד,1,6
פטין,3,2
פטר,6,1
פרג,2,3
פרחי,1,6
קמר,1,6
רסלאן,2,3
שבח,1,6
שעבאן,1,6
תופיק,3,2
אוריין,5,1
אטד,1,5
איון,1,5
איזק,1,5
אליה,1,5
אליעז,1,5
ג'יריס,5,1
זייד,1,5
ח'יר,1,5
כדורי,1,5
מוראד,5,1
מחול,1,5
נסרין,5,1
סביר,1,5
סוהיר,5,1
סייף,1,5
עברי,1,5
עפיף,5,1
פייסל,1,5
רמזי,5,1
שוכרי,1,5
שירין,1,5
אליצור,2,2
אסמאעיל,1,4
אשרי,1,4
ג'ריס,4,1
גוהר,1,4
גמאל,4,1
גפן,1,4
המאם,2,2
זאהר,2,2
חנין,1,4
טובי,2,2
יהל,2,2
יהלום,1,4
יודפת,2,2
כיאל,1,4
כלב,2,2
לביב,2,2
לואיס,2,2
לינוי,4,1
מואסי,2,2
מועין,4,1
מזאוי,1,4
מכס,1,4
מתניה,1,4
מתתיהו,4,1
נג'אר,1,4
נתאי,2,2
סטי,1,4
סלמה,1,4
עביר,4,1
עדה,4,1
עזאיזה,1,4
עילם,2,2
פרג',1,4
צדיק,1,4
קוסאי,4,1
קלמי,2,2
רומי,4,1
רומן,4,1
שיר,4,1
תאבת,2,2
אביעזר,3,1
אברם,1,3
איתם,1,3
אלירם,1,3
אלרואי,1,3
בכרי,1,3
גינת,1,3
גרי,3,1
דגש,3,1
דלי,3,1
השאם,3,1
וקים,1,3
חאזם,3,1
חלים,3,1
חשן,1,3
טימור,1,3
יורן,1,3
יעקוב,3,1
ישעיה,1,3
כנאנה,1,3
כריים,3,1
מאי,1,3
מגיד,1,3
מחלב,1,3
מידן,1,3
מעין,3,1
מערוף,1,3
מרחבי,1,3
מרקס,1,3
נדאף,1,3
נוריאל,3,1
נחלה,1,3
נס,1,3
נסרי,3,1
נעמאן,3,1
סובחי,3,1
סמאר,1,3
ספי,3,1
פינקו,1,3
צרויה,1,3
קבלאן,1,3
קנת,1,3
ראפע,1,3
רדואן,3,1
רימון,1,3
שדי,3,1
שנהב,1,3
שריג,1,3
שריה,1,3
תדהר,1,3
תדמור,1,3
תייסיר,3,1
אהד,2,1
אורין,2,1
איילון,1,2
איליה,2,1
איראני,1,2
אליק,2,1
אליקים,1,2
אסא,1,2
אסחאק,1,2
בין,2,1
בקי,2,1
ברונו,1,2
בתריס,1,2
גדליה,1,2
גוש,2,1
גלאון,1,2
גתאי,2,1
דוברת,2,1
דיבון,1,2
דין,2,1
הילאל,1,2
וג'יה,2,1
זיד,1,2
זכאי,1,2
חאמד,1,2
חלא,1,2
טעות,2,1
יגיל,2,1
יגל,2,1
ידין,1,2
יצהר,2,1
ירדן,2,1
כראמה,1,2
ליבנת,2,1
מדמון,1,2
מועד,1,2
מוש,2,1
מרגריטה,2,1
נאדיה,2,1
נוגה,1,2
נמיר,1,2
סבר,1,2
סיימון,2,1
עאטף,2,1
עבדאלה,2,1
עופרי,1,2
עירד,2,1
עמיעד,2,1
ערב,1,2
פואז,2,1
פסח,1,2
פרלה,1,2
צילי,2,1
קאדר,1,2
קבהא,1,2
קורין,2,1
קיס,1,2
ראם,2,1
רהב,2,1
ריבה,2,1
רים,2,1
רשיד,2,1
שאלתיאל,2,1
שהם,1,2
שמאי,2,1
שעיה,1,2
תמרי,1,2
תקוה,2,1
אבירן,1,1
אוס,1,1
אסיא,1,1
ארנסט,1,1
בוטרוס,1,1
גית,1,1
גני,1,1
גרייס,1,1
דובב,1,1
דפני,1,1
הרן,1,1
ז'אן,1,1
ח'דר,1,1
חברון,1,1
חג'אזי,1,1
חליפה,1,1
חנאן,1,1
טרי,1,1
ירין,1,1
כרייני,1,1
מאמון,1,1
מועמר,1,1
מרהג,1,1
מרטין,1,1
נאג'י,1,1
נורמן,1,1
נימר,1,1
נרי,1,1
ס.,1,1
סאפי,1,1
סביח,1,1
סולטאן,1,1
סלעית,1,1
סנפיר,1,1
עבדו,1,1
עובייד,1,1
עזגד,1,1
עטייה,1,1
עיאד,1,1
עיאש,1,1
עלאדין,1,1
עמראן,1,1
פדל,1,1
פייר,1,1
צלאח,1,1
קוואסמי,1,1
ראניה,1,1
רג'ב,1,1
ריאן,1,1
ריקה,1,1
רמאל,1,1
שאוקי,1,1
שושי,1,1
שיאון,1,1
שלהבת,1,1
שמיל,1,1
אאונג,0,0
אב,0,0
אבא,0,0
אבבה,0,0
אבגי,0,1
אבגניה,0,0
אבגנים,0,0
אבדאח,0,1
אבדין,0,1
אבדר,0,1
אבהו,0,0
אבהר,0,0
אבוגבל,0,2
אבוגדרו,0,0
אבוגרארה,0,1
אבודהוד,0,1
אבוהב,0,2
אבוהרון,0,0
אבוחוסיין,0,1
אבוחצירא,0,0
אבוחצירה,0,1
אבוטבול,0,0
אבוימן,0,0
אבולוף,0,3
אבוליל,0,2
אבולעפיה,0,1
אבולפיה,0,2
אבוסאלח,0,1
אבוסויס,0,2
אבוקוש,0,0
אבוקסיס,0,2
אבוקרט,0,2
אבורזק,0,1
אבוריאש,0,2
אבוש,0,1
אבזוב,0,1
אבטובי,0,0
אבטליון,0,1
אביאב,0,1
אביאור,0,0
אביאלה,0,0
אביאסף,0,0
אביבה,27,0
אביבי,0,5
אביבית,2,0
אביגד,0,0
אביגדורי,0,3
אביגזר,0,1
אביגיל,18,0
אביד,0,3
אבידב,0,0
אבידוב,0,0
אבידור,0,3
אבידני,0,2
אבידר,0,4
אביה,2,0
אביהו,3,0
אביהוא,0,0
אביהוד,0,0
אביזהר,0,1
אביחי,13,0
אביחיל,4,0
אביטבול,0,1
אביטוב,0,0
אביי,0,0
אבייט,0,2
אביים,1,0
אבים,0,0
אבימור,0,1
אבימלך,0,0
אבינדב,0,0
אבינור,0,0
אבינעם,4,0
אבינר,0,0
אבינרי,0,1
אבינתן,0,0
אביסמך,0,0
אביסף,0,0
אביסרור,0,0
אביעם,0,0
אביצח,3,0
אביצרור,0,1
אביקם,0,1
אביקסיס,0,1
אבירה,0,0
אבישג,3,0
אבישור,0,2
אבישי,37,0
אבישלום,1,0
אבישר,0,8
אביתר,43,0
אבלאסי,0,2
אבלה,0,1
אבלס,0,0
אבמן,0,0
אבן,0,8
אבנברג,0,2
אבנון,0,7
אבני,0,22
אבניאל,0,2
אבניאלי,0,0
אבניר,0,2
אבנעזר,0,0
אבנר,70,0
אבנרי,0,7
אבנת,0,2
אבסדיד,0,0
אבקסיס,0,2
אבר,0,0
אבראיהם,0,1
אברבנאל,0,2
אברגיל,0,2
אברה,0,0
אברהמוב,0,4
אברהמוביץ,0,2
אברהמי,0,12
אברהמס,0,1
אברונין,0,8
אברט,0,0
אברי,0,0
אבריאל,0,2
אבריאלה,1,0
אבריאן,0,1
אברילינגי,0,0
אברמ,0,0
אברמוב,0,7
אברמוביץ,0,12
אברמוביץ',0,0
אברמזון,0,4
אברמסקי,0,0
אברנאתי,0,0
אבשלומוב,0,3
אג'וויט,0,0
אג'פילי,0,1
אגאו,0,0
אגאתה,0,0
אגבארייה,0,3
אגבר,0,1
אגבריה,0,5
אגברייה,0,8
אגו,0,2
אגוזי,0,2
אגולסקי,0,3
אגון,0,0
אגור,2,0
אגי,0,0
אגם,0,2
אגמון,0,19
אגמי,0,7
אגממנון,0,0
אגנש,3,0
אגסי,0,2
אגר,0,3
אגראא,3,0
אגרון,0,2
אגרט,0,1
אגריפה,0,0
אגריפס,0,0
אגריקולה,0,0
אגרנט,0,0
אגרסט,0,1
אגתה,0,0
אדאלף,0,0
אדברג,0,0
אדגאר,3,0
אדגר,0,0
אדד,0,1
אדדי,0,1
אדהאן,0,1
אדהם,10,0
אדהמי,0,2
אדוארד,13,0
אדוארדו,3,0
אדוה,5,0
אדווה,0,0
אדווין,0,0
אדוורד,0,0
אדוט,0,0
אדולף,0,0
אדון,0,1
אדוניאדט,0,0
אדורם,0,5
אדזיאשוילי,0,1
אדטו,0,1
אדי,6,0
אדיבה,0,0
אדין,0,0
אדינגטון,0,0
אדינסון,0,0
אדיס,0,0
אדיסון,0,0
אדיפוס,0,0
אדיר,8,0
אדירי,0,1
אדית,1,0
אדל,2,0
אדלמן,0,2
אדלר,0,11
אדלשטיין,0,6
אדמונד,0,0
אדן,0,0
אדנאואר,0,0
אדרה,3,0
אדרוקי,0,0
אדרי,0,20
אדריאן,0,0
אדריאנה,2,0
אדריס,0,4
אדריעי,0,0
אה,0,0
אהובה,13,0
אהמט,0,0
אהר,0,0
אהרונה,1,0
אהרונוב,0,3
אהרונוביץ,0,0
אהרונוביץ',0,0
אהרוני,0,22
אהרונס,0,0
אהרונסון,0,1
אהרנסון,0,12
או,0,5
או'בריאן,0,0
או'ניל,0,0
אואה,0,0
אואן,0,0
אואנונו,0,1
אובאמה,0,0
אובוז,0,3
אובוטה,0,0
אובטרכט,0,0
אובי,2,0
אובמה,0,0
אוברון,0,0
אוברקליד,0,0
אובשייביץ,0,0
